#{"t_start": 1645362909.8629582, "env_id": null}
r,l,t
0.030471,22,160.499013
0.095559,26,161.090302
0.032329,26,161.724509
0.057551,24,162.305573
0.108364,36,162.978701
0.102646,35,163.641534
0.019575,20,164.233979
0.045563,26,164.846227
0.021552,23,165.427637
0.18669,32,166.079816
0.031744,22,166.669489
0.062087,24,167.284021
0.124167,32,167.92678
0.035841,28,168.538379
0.063753,31,169.18842
0.125003,32,169.841509
0.121732,30,170.46608
0.073566,30,171.119067
0.259257,35,171.81288
0.240581,44,172.557346
0.086851,28,173.230889
0.168643,38,173.933946
0.124069,36,174.667617
0.39994,39,175.391034
0.079905,36,176.094407
0.032446,33,176.754986
0.120782,38,177.499784
0.06506,32,178.154524
0.213993,35,178.804326
0.200414,49,179.588733
36.643926,131,180.822626
0.007962,17,181.41247
0.010491,19,181.955214
0.024886,22,182.557346
0.31519,41,183.248002
0.024101,28,183.903192
2.955461,50,184.675122
0.068956,26,185.297554
0.272209,34,185.961843
0.173644,30,186.601021
4.131199,54,187.37653
1.023426,39,188.103591
0.143472,30,188.748203
1.254619,40,189.482245
0.113824,25,190.123368
0.390968,31,190.787426
0.226446,31,191.447701
2.340401,48,192.214401
0.265578,31,192.885158
0.083572,25,193.519203
3.586668,44,194.280632
0.073568,24,194.900818
0.111552,24,195.532891
0.025234,19,196.157641
0.270736,30,196.85017
0.555533,33,197.54221
0.29132,28,198.211027
0.131654,26,198.855778
0.093654,25,199.488765
0.37467,31,200.141678
0.416198,35,200.814425
0.326825,29,201.474973
0.143283,25,202.071887
0.580183,31,202.747517
0.086154,21,203.349892
0.054411,22,203.980608
0.180468,26,204.609198
0.107336,26,205.220674
0.11657,28,205.861274
0.017753,17,206.404196
0.016141,19,206.993759
0.017657,18,207.566808
0.007973,16,208.115429
0.024674,17,208.658552
0.013036,17,209.217991
0.015843,17,209.760731
1.071137,35,210.380407
0.034886,19,210.952039
0.025757,18,211.505332
0.084971,23,212.104991
0.006751,15,212.645882
0.01534,17,213.209297
0.01234,17,213.768213
0.008762,16,214.308776
0.017666,20,214.870046
0.025996,18,215.433226
0.089658,21,215.984251
0.016275,18,216.535434
0.021369,19,217.106538
0.015285,17,217.646013
0.016928,17,218.188796
0.047526,23,218.788346
0.008297,15,219.331098
0.010294,18,219.882092
0.039344,20,220.453587
0.018198,18,221.004577
0.004758,15,221.553636
0.013936,17,222.086086
0.019603,18,222.645017
0.036946,19,223.188045
0.013186,17,223.729053
0.016868,18,224.2985
0.008901,16,224.84144
0.014261,18,225.401056
0.02109,18,225.957765
0.00507,15,226.478299
0.005226,16,227.010807
0.017393,18,227.52961
0.014297,17,228.082817
0.016685,19,228.631683
0.014879,17,229.174525
0.01961,17,229.713483
0.003922,15,230.264522
0.009096,16,230.805198
0.006666,15,231.32786
0.005816,15,231.868937
0.019745,19,232.418113
0.013694,17,232.948894
0.010091,15,233.502224
0.014703,17,234.06306
0.007593,15,234.604102
0.009831,16,235.132671
0.008854,15,235.632661
0.011272,15,236.175472
0.01717,18,236.704059
0.019537,19,237.244789
0.011724,15,237.775513
0.00663,16,238.308225
0.031409,19,238.867139
0.004861,15,239.40824
0.008104,17,239.951389
0.049931,23,240.512767
0.022204,17,241.053415
0.099908,23,241.62723
0.018021,18,242.176321
0.035264,21,242.76779
0.198501,27,243.379563
0.005512,15,243.930876
0.022997,19,244.509647
0.015761,18,245.052585
0.087466,24,245.644142
0.051091,21,246.223658
0.108723,22,246.817741
0.054157,23,247.476679
0.433247,32,248.157138
1.822146,38,248.884565
0.693335,34,249.568905
0.456453,32,250.25962
0.490971,32,250.984041
13.212179,49,251.797027
0.503652,34,252.482128
12.337122,57,253.307205
0.275449,30,254.000645
0.035294,21,254.610344
0.011979,17,255.15326
0.01762,20,255.739555
0.060584,21,256.339345
0.207498,29,256.95941
0.117171,24,257.591882
0.123676,23,258.205783
7.786562,51,258.997924
0.090703,22,259.640321
0.043601,23,260.262724
0.173058,26,260.923935
0.117823,25,261.586903
0.091056,23,262.231593
1.592255,34,262.943599
0.148824,26,263.596192
0.118896,24,264.257521
0.043446,20,264.9001
0.671046,31,265.646538
0.347557,31,266.319566
1.089124,39,267.054133
1.221097,40,267.716556
0.498067,33,268.399576
0.166739,26,269.031811
0.325533,30,269.684689
0.363972,29,270.346285
0.095363,21,270.923429
0.026503,18,271.516756
1.071373,38,272.210312
0.175073,27,272.860929
0.022605,19,273.483077
0.330548,31,274.165942
0.055644,20,274.757224
0.272946,28,275.422357
0.339136,29,276.065355
1.927135,43,276.829952
0.421794,28,277.503338
0.27427,30,278.156205
0.021881,18,278.786661
0.900711,35,279.489702
0.567974,33,280.195112
0.194428,30,280.868946
2.965008,47,281.631352
0.169969,26,282.294349
0.426611,32,282.967595
0.855006,36,283.679468
0.132324,25,284.311935
0.69059,35,284.996917
1.165492,36,285.710678
0.637286,34,286.350844
0.085645,24,286.991425
0.555426,32,287.634156
1.501517,41,288.380257
0.036952,21,289.002906
0.069637,23,289.615245
0.122123,24,290.255489
0.429246,32,290.979382
1.021468,37,291.672174
0.322993,30,292.346814
0.088493,22,292.968971
0.351827,28,293.613711
4.773849,50,294.409819
2.214361,45,295.173802
0.359777,30,295.846106
0.086856,23,296.47854
0.398352,33,297.161184
2.855595,46,297.87655
0.503058,33,298.593856
0.019955,20,299.207273
0.958799,34,299.89233
0.091869,24,300.525048
0.693319,33,301.226288
0.183224,28,301.888979
0.326375,28,302.560492
1.514377,39,303.28343
1.397242,40,303.995597
0.688505,34,304.660315
0.306439,32,305.406476
3.671404,41,306.109603
0.330667,27,306.773535
0.214997,28,307.436714
0.090363,22,308.085531
0.085909,24,308.699462
0.800077,35,309.38007
0.517387,34,310.057126
0.03812,24,310.672308
0.024222,19,311.227255
1.488154,41,311.943562
3.505942,44,312.66693
0.240079,30,313.337664
4.812042,52,314.121715
0.515375,34,314.845115
1.197287,36,315.507336
0.014864,18,316.109167
3.008017,45,316.863572
0.506307,28,317.517794
0.679048,36,318.229009
0.021325,17,318.80039
0.021858,18,319.384043
5.111146,43,320.125867
0.492507,35,320.810718
0.069662,24,321.430612
0.092051,24,322.042275
0.021132,20,322.654504
0.98955,32,323.319508
0.018628,18,323.911262
0.211833,29,324.613182
0.01127,17,325.19657
1.949385,43,325.959341
0.159297,26,326.611897
0.104602,26,327.366503
1.224327,42,328.123284
0.240179,28,328.835058
1.689997,39,329.538033
0.292538,31,330.221359
0.075438,24,330.865974
0.207776,29,331.669523
5.450206,47,332.423509
0.216037,29,333.04748
1.105827,35,333.699833
0.063348,21,334.271491
0.072704,22,334.862906
0.847313,35,335.546068
0.445482,32,336.278729
0.088773,21,336.890415
0.15494,26,337.542936
0.287341,27,338.258912
0.13717,25,338.878919
0.042225,21,339.523425
0.289828,27,340.206603
0.790876,32,340.908233
0.433815,31,341.591031
0.318209,29,342.286802
1.036953,34,342.980298
0.123111,27,343.692005
