#{"t_start": 1645356841.640019, "env_id": null}
r,l,t
3.247036,145,3.402508
0.372074,55,5.769074
38.155745,108,7.249549
5.193945,72,8.295151
404.440237,196,10.717979
406.39485,191,13.970891
8.1601,127,15.630277
275.792243,173,17.77319
19.565806,92,19.009578
57.544469,134,21.369175
67.861489,131,23.03138
213.671482,179,25.261273
1.424199,67,26.215492
316.756163,271,30.706546
15.13807,110,32.159508
832.988472,297,35.67668
14.353464,98,36.977173
96.380199,184,48.893385
6132.548971,663,56.648401
1001.678437,504,62.56607
5380.68747,803,71.84901
7046.65534,512,80.117066
1766.792442,497,85.95922
556.34714,2002,110.711547
469.416137,676,118.916839
119.256968,380,132.853524
1873.316556,704,141.280149
377.938318,255,144.30087
2970.257177,642,151.938308
1178.975735,677,168.155875
1157.808034,490,173.812871
3426.019466,680,181.632044
1373.573357,494,187.408409
359.738459,258,198.891085
1651.960535,696,206.910589
3661.023039,819,216.369053
2951.16173,1495,234.268139
0.000668,2002,267.945744
211.594908,437,273.020524
94.203529,2002,296.919782
321.578367,358,301.108645
489.947969,694,318.744427
4710.418663,954,329.586903
1.721423,144,331.42246
522.2126,361,335.612421
138.443465,359,349.134871
3854.065022,1179,362.809634
2620.016298,703,370.979173
23.510129,2002,395.629596
1.093496,2002,417.062487
46.487768,2002,440.700944
20.161144,2002,464.968244
1.507563,2002,491.951749
50.895452,172,504.577913
509.010805,2002,531.597111
1685.427994,1310,548.038247
0.727841,2002,574.141021
1683.040608,608,582.164688
333.101934,228,585.001896
1800.98491,422,590.098332
7.493216,1482,608.709576
392.405691,423,622.65172
26.197619,116,624.196935
1263.855139,391,628.80949
36.155738,158,630.781024
2713.830171,593,646.984222
526.192449,580,654.345596
265.985837,305,658.003488
8.466316,94,659.237819
1698.499009,656,668.404151
4355.736686,1042,680.884636
139.747457,952,694.082338
4642.795641,970,706.436341
1438.730359,814,726.066446
2777.127766,710,735.571494
5323.800426,818,745.78736
9.781723,100,747.084015
69.907069,223,750.791476
5750.168642,733,760.224227
1740.136327,742,769.395089
198.046224,163,771.407059
5574.548915,765,790.085543
315.757833,228,793.167518
16.248832,2002,820.768513
7128.522847,497,826.510633
490.210829,309,831.82365
6662.9369,571,838.800759
6380.031315,620,846.358984
94.336837,1710,870.484406
5520.663456,778,881.447908
6551.70244,588,888.473323
6368.283005,622,896.134003
635.529937,381,900.880909
5699.498027,743,911.724417
121.936277,187,913.990038
1176.875007,550,920.351264
694.460916,439,925.572873
797.531594,513,933.184745
3622.385486,515,939.36075
1038.415886,392,944.209761
62.893533,196,946.71756
2082.610986,589,955.505734
6438.062885,608,963.140972
2226.569155,530,969.711438
2578.916684,479,975.359134
318.788568,325,981.042056
5825.795486,719,989.277117
556.783883,321,993.31837
544.481573,240,996.286186
528.050208,323,1001.607696
5841.796863,716,1010.023215
34.922764,141,1011.828952
5982.504859,690,1020.211305
1922.029151,492,1027.858011
46.775323,114,1029.312654
581.96939,304,1032.915554
251.755848,195,1035.290561
567.292307,223,1039.488245
143.026624,170,1041.559071
402.474694,318,1045.30567
5782.596137,725,1053.893261
5702.943609,740,1063.94929
5590.740455,762,1072.677013
375.518023,218,1075.303734
6302.940046,633,1082.710873
362.384596,247,1087.998638
22.852465,109,1089.413105
1522.314233,496,1095.22073
496.675263,2002,1121.914601
537.650728,283,1127.276222
4428.60769,614,1135.038877
1837.717302,526,1141.408177
1.551845,69,1142.510709
455.055107,243,1147.153729
899.491238,319,1151.072546
5970.250782,691,1160.249719
5523.08064,776,1170.042899
6467.864368,603,1179.793514
156.970037,836,1190.652687
69.539427,154,1192.614357
62.985034,130,1194.383782
5160.208305,587,1203.674092
5841.796863,716,1212.318071
5530.714831,776,1221.741907
3531.642991,746,1230.742875
7011.660801,515,1238.786253
6187.849885,651,1246.960182
5337.831185,815,1256.775298
609.829034,571,1264.512712
12.379477,101,1267.617678
6877.120309,538,1274.010196
56.988365,2002,1296.840529
5978.583226,689,1305.761502
2700.550367,410,1312.819518
6051.4529,676,1321.182976
1464.85371,423,1326.445988
57.045297,130,1328.16062
6052.333121,675,1337.954025
6033.791256,679,1346.342901
6811.110052,547,1353.155827
5876.473132,709,1362.327963
5924.452458,698,1372.867541
6953.10937,527,1379.751041
7014.439199,514,1386.451491
