#{}
epoch,num_iter_road_0,reward_road_0
0,482,0.03034702
4,2002,3.0801287e-13
8,2002,3.0800495e-13
12,2002,3.080135e-13
16,2002,3.080075e-13
20,2002,7.8507223
24,343,116.88708
28,2002,3.0801034e-13
32,2002,3.079247e-13
36,2002,123.4589
40,326,8380.103
44,270,8844.161
48,78,460.10095
52,64,307.26923
56,337,8303.421
60,82,613.2911
64,172,1566.7056
68,288,8695.312
72,2002,85.742775
76,2002,120.364235
80,2002,120.014824
84,2002,121.69356
88,2002,3.0799137e-13
92,2002,495.81406
96,114,723.7896
100,111,729.4188
104,2002,398.5208
108,2002,437.6449
112,340,8256.163
116,2002,463.713
120,332,8342.535
124,289,8687.118
128,295,8625.375
132,250,9012.725
136,303,8573.299
140,316,8469.026
144,299,8605.657
148,307,8541.068
152,2002,343.93048
156,270,8844.161
160,2002,370.9169
164,266,8877.607
168,277,8785.954
172,270,8844.16
176,251,9004.219
180,277,8768.87
184,268,8860.868
188,255,8970.267
192,252,8995.717
196,258,8944.895
200,244,9063.954
204,250,9012.726
208,257,8953.344
212,257,8953.344
216,257,8953.345
220,258,8944.895
224,246,9046.844
228,248,9029.769
232,246,9046.845
236,259,8838.775
240,266,8877.604
244,252,8995.717
248,255,8956.564
252,252,8995.716
256,277,8785.957
260,272,8827.489
264,269,8852.51
268,278,8777.675
272,270,8844.163
276,267,8840.382
280,264,8881.006
284,297,8603.536
288,264,8894.378
292,255,8970.268
296,278,8773.33
300,247,9038.302
304,267,8869.23
308,269,8839.115
312,268,8844.076
316,275,8776.362
320,272,8827.491
324,267,8869.049
328,263,8902.773
332,267,8857.961
336,260,8928.022
340,275,8802.544
344,277,8785.957
348,266,8877.6045
352,250,8998.201
356,244,9063.955
360,244,9063.955
364,262,8888.393
368,255,8970.267
372,263,8902.774
376,263,8902.772
380,261,8919.597
384,245,9055.3955
388,257,8953.345
392,159,1955.6454
396,243,9072.521
400,247,9031.967
404,242,9059.871
408,149,2035.7224
412,234,9072.733
416,241,9089.687
420,235,9141.379
424,238,9115.491
428,242,9081.098
432,231,9164.339
436,240,9098.276
440,239,9106.883
444,239,9106.882
448,235,9141.379
452,232,9167.343
456,229,9193.384
460,238,9115.492
464,230,9169.251
468,222,9254.449
472,234,9150.024
476,228,9202.08
480,238,9115.493
484,252,8995.716
488,228,9202.079
492,226,9219.502
496,226,9219.501
500,244,9063.954
504,227,9210.788
508,254,8978.744
512,224,9236.959
516,251,9000.73
520,253,8987.226
524,266,8863.604
528,261,8919.598
532,262,8911.182
536,246,9046.844
540,248,9025.394
544,250,9012.724
548,252,8995.718
552,254,8978.744
556,255,8970.268
560,263,8902.776
564,262,8911.184
568,251,8989.283
572,256,8946.449
576,254,8978.742
580,261,8919.598
584,266,8854.492
588,260,8928.0205
592,266,8877.6045
596,266,8876.944
600,267,8869.231
604,270,8844.162
608,272,8827.491
612,258,8919.189
616,273,8819.166
620,261,8919.597
624,270,8844.161
628,236,9132.742
632,284,8728.157
636,265,8885.988
640,246,9046.846
644,221,9263.208
648,257,8934.251
652,276,8794.247
656,262,8889.713
660,263,8902.776
664,257,8953.343
668,271,8823.185
672,262,8793.988
676,259,8926.751
680,256,8846.184
684,267,8869.231
688,256,8961.802
692,258,8944.8955
696,248,9029.769
700,269,8852.513
704,252,8995.717
708,264,8894.377
712,246,9046.842
716,251,9004.218
720,250,9012.725
724,249,9021.242
728,252,8995.716
732,264,8894.377
736,258,8942.093
740,256,8875.54
744,265,8885.988
748,257,8953.346
752,253,8987.223
756,263,8889.453
760,252,8995.715
764,257,8930.836
768,263,8883.405
772,254,8978.744
776,253,8987.226
780,244,9063.953
784,246,9021.305
788,242,9081.098
792,255,8970.269
796,258,8944.895
800,243,9072.523
804,263,8902.776
808,248,9029.766
812,252,8995.717
816,245,9055.396
820,245,9055.395
824,249,9021.239
828,244,9063.954
832,246,9046.843
836,249,9021.243
840,260,8928.022
844,257,8927.863
848,245,9055.394
852,239,9080.066
856,242,9081.101
860,246,9020.404
864,247,9038.301
868,252,8909.922
872,240,9098.063
876,244,9063.955
880,254,8978.741
884,258,8944.893
888,267,8802.507
892,248,9029.769
896,245,9055.3955
900,243,9070.87
904,252,8971.935
908,256,8961.803
912,242,9081.1
916,238,9115.493
920,246,9046.845
924,246,9046.847
928,262,8835.561
932,265,8885.987
936,245,9055.396
940,246,8966.14
944,253,8987.224
948,250,8956.333
