#{"t_start": 1645277487.4438581, "env_id": null}
r,l,t
4.631674,100,0.718657
0.092636,49,4.038757
0.460409,86,5.389536
0.082109,65,6.408174
0.292349,206,9.370803
0.358246,103,19.785691
0.077292,47,20.464825
0.498459,154,22.571713
1.224988,115,24.176937
0.092487,87,34.397755
2.280872,151,36.50863
1.060878,147,38.552886
3.683567,186,41.073319
0.077904,76,50.776074
0.090374,92,52.066201
0.212013,88,53.323504
0.737975,145,55.343955
0.741357,204,66.91106
1.009534,84,68.127548
0.868205,401,73.567095
1.984989,288,77.517158
0.060351,237,89.731897
2.313741,81,90.835236
0.014637,255,94.493685
1.401602,518,101.598962
0.024605,323,107.749494
0.92052,481,114.440995
0.045424,210,117.448849
1.8594,489,124.158409
0.915848,595,141.071702
7.910474,314,145.400387
0.002425,374,150.468618
0.095049,493,157.303648
0.003102,1192,178.655716
4803.115222,932,190.138139
26.853461,2002,214.985492
10.479711,617,222.808247
1317.355576,2002,256.020534
6004.478797,686,264.081561
1402.951287,636,271.992271
1017.380148,387,276.737524
6076.031878,670,286.151504
92.263956,316,290.038951
31.998784,147,291.886256
6374.154223,621,299.224412
6281.440726,634,307.988844
396.587749,231,310.77562
7169.614669,494,316.61775
120.883525,165,318.66367
16.918998,60,320.051942
31.916549,68,320.986109
284.617015,118,322.455252
5.231782,55,323.251139
5.715768,71,324.725678
72.253769,81,325.789382
79.863257,83,326.838541
16.793306,199,329.499168
16.911022,62,331.929553
25.328168,588,339.398593
56.577869,187,341.768851
114.467304,124,343.333738
10.497589,71,344.878305
1040.004823,232,347.672596
126.034011,111,349.076662
898.487582,199,351.530639
12.603269,87,353.652472
73.522878,102,354.976321
1449.424863,259,358.053863
41.574609,119,359.57143
106.251838,1164,376.001009
1217.578351,398,380.874482
10.752428,76,381.935855
524.88129,252,385.003456
196.330521,1502,413.452651
6793.781532,552,419.844961
1418.323558,2002,444.727333
65.502378,795,454.842417
4111.136637,451,468.550592
461.92974,188,470.810323
29.926728,82,471.884161
419.090992,252,474.985971
231.591026,283,487.227265
0.983486,52,487.95431
3052.421447,406,492.722263
1195.971827,2002,517.731415
0.02633,2002,549.699893
6882.394368,520,555.736988
493.752726,2002,578.326178
6483.083121,591,585.547277
20.844346,2002,618.018512
661.103673,349,622.396956
160.778234,2002,648.318743
314.633692,2002,673.047877
866.06082,375,686.246619
7020.44654,496,691.992965
6637.497319,577,698.698327
6608.528916,559,705.246366
200.912022,198,708.435992
363.310631,182,710.727879
74.92057,352,715.34013
6379.994797,579,722.37554
6.062448,2002,748.284713
471.625741,192,750.660563
360.627023,218,753.380599
15.300264,2002,778.557807
6611.597889,573,794.056583
7774.975893,375,798.523833
58.444808,115,800.013013
15.778272,2002,825.172956
1171.237936,2002,855.824369
13.853108,2002,880.926798
466.639371,2002,906.041945
6225.694871,644,913.803569
5854.498708,711,923.916882
5574.307359,767,933.291895
6613.883004,581,940.222346
4961.843795,896,951.371142
6349.325643,622,967.627616
4811.163642,929,978.991761
6193.626502,650,986.72013
7908.01178,389,991.36596
6204.455002,649,1000.69068
5440.972072,794,1010.149824
5663.267779,748,1019.07861
5480.658382,786,1028.491027
5381.036437,806,1039.587574
6166.445853,657,1047.341169
6256.485333,639,1055.311705
6172.115133,656,1063.558638
6010.449065,684,1073.138189
5664.07634,749,1082.102746
6298.28444,634,1089.687326
5304.543764,822,1099.854256
216.165968,136,1102.893762
7216.46576,487,1108.657798
7102.541561,504,1114.53399
2672.073581,369,1118.978042
108.432842,147,1122.366256
7256.733551,481,1128.099381
474.561896,330,1132.163953
6183.470715,654,1140.057579
7717.885822,415,1146.617919
6444.876383,609,1153.955014
7004.941297,519,1160.151311
4071.983868,540,1166.716416
3369.494113,527,1175.052751
350.889584,707,1184.195337
272.209125,180,1186.522424
335.427011,260,1189.783744
397.553233,211,1193.92928
44.701505,2002,1219.207116
7462.663498,451,1224.452666
1497.522785,2002,1248.545775
6155.124287,659,1265.610669
5443.111746,793,1275.248337
7149.540455,494,1281.081072
346.157042,2002,1306.55523
5642.616968,754,1317.319579
6965.773178,525,1323.654393
6522.859145,596,1330.883205
71.59264,156,1332.878133
5884.566213,706,1350.534445
3905.605738,1165,1364.907016
4985.529783,889,1375.887884
6595.56884,584,1383.140159
6315.705412,631,1391.974266
6613.883004,581,1398.865796
5960.618641,694,1407.190439
7646.066658,425,1412.673647
6344.856756,626,1421.838777
6760.03654,555,1428.442566
454.67081,2002,1453.705814
648.111902,2002,1479.179028
5214.119186,841,1490.966907
6943.025639,528,1497.286115
6333.178725,628,1504.890834
6843.083492,543,1511.357725
7574.962107,435,1517.838912
300.708071,174,1519.992488
6837.992561,545,1526.480461
6601.667458,583,1533.478624
7307.426362,472,1540.864173
7046.793773,510,1547.028793
6087.625312,670,1555.053892
7587.933827,432,1560.153686
7841.638801,398,1566.252215
5485.641532,785,1576.142224
6081.932953,670,1584.162429
6263.181742,638,1592.164051
5170.122499,848,1603.651215
1353.540144,221,1606.35335
172.333577,148,1608.231981
5692.786658,743,1617.319988
5895.482814,706,1627.182716
6403.598543,616,1634.754163
6053.859244,674,1642.937413
1319.865645,2002,1667.595423
164.158798,147,1670.768478
147.270473,2002,1694.729552
6857.035088,542,1701.728776
5.199487,2002,1727.178976
19.386353,2002,1754.62054
7539.675586,440,1760.221152
4371.19052,1038,1773.307306
4220.923717,1076,1786.885857
5540.786329,774,1797.736911
6693.882352,568,1804.682197
5467.036291,788,1814.074226
5377.155144,807,1824.009195
3848.6661,1183,1839.765186
5857.846316,713,1848.310099
6788.162805,551,1854.856627
7229.912133,485,1860.592609
5751.75385,733,1870.748923
6920.924353,532,1877.112989
5391.923655,802,1886.815228
6993.020508,519,1893.196271
6731.15736,562,1901.387138
6940.216049,529,1907.836402
6234.852824,645,1915.460839
6970.522052,523,1921.679523
6111.789808,664,1931.186336
2772.099822,680,1939.682093
5029.79193,878,1950.318446
4943.021914,900,1961.513525
7182.967247,492,1968.499084
6309.892613,632,1976.225002
6885.50395,536,1982.714193
6522.859145,596,1990.239542
6500.085129,599,1998.796767
6534.916917,594,2005.960048
6391.803145,618,2013.425
6718.707499,564,2020.483499
5846.886965,704,2030.53075
6246.334007,643,2038.347
6820.834425,546,2044.899302
6126.919237,664,2052.754729
6777.446663,532,2060.481759
1098.219507,313,2064.276915
6327.348462,629,2071.894641
6571.235264,588,2079.070419
6774.928481,555,2086.890689
6450.958231,606,2094.174587
6385.914287,619,2101.464408
6888.899859,537,2107.734811
56.546272,83,2110.082154
6309.892613,632,2117.647023
7097.950443,503,2123.481583
6737.391634,561,2130.133875
6806.381691,550,2137.962406
7156.28877,496,2144.137555
6048.064895,675,2152.116229
6479.200738,601,2159.154643
6577.309536,587,2167.384574
6820.590887,547,2173.846053
6793.781532,552,2180.310381
7111.710797,501,2186.359724
6492.820009,601,2194.755149
6234.852824,645,2202.171444
7414.095041,458,2207.477325
6985.455716,522,2213.66477
7223.185585,486,2220.607466
6625.15236,576,2227.321189
6439.126612,610,2234.797888
6644.52897,576,2241.718159
5689.109423,745,2252.047726
79.177149,173,2254.29098
6687.691566,569,2261.216874
6637.668192,566,2268.31229
7087.076448,504,2275.91588
6464.377334,605,2283.425291
6925.69812,530,2290.044173
5699.498027,743,2299.359114
166.037224,137,2302.491735
5916.642859,700,2311.435584
5742.883273,734,2320.332811
6421.335932,613,2327.825175
6826.66705,545,2335.880764
6571.235264,588,2343.288023
6724.929317,563,2350.552774
6440.351155,608,2358.107311
6525.341222,593,2366.806965
5900.880995,705,2375.503773
6959.565707,526,2381.887872
5864.09703,710,2390.6111
59.928561,132,2393.824119
5995.162843,685,2402.16602
6410.464135,614,2409.767541
6296.718637,632,2417.448246
6421.335932,613,2426.317488
6756.345078,556,2433.105134
6693.882352,568,2440.052153
6601.821565,580,2447.107503
6837.992561,545,2455.059472
6894.838154,533,2461.582528
7008.427465,518,2467.842695
6693.882352,568,2474.840541
6756.266368,555,2482.975425
6321.204561,627,2490.717602
1347.798782,317,2494.604396
6628.337849,576,2501.721951
6305.947928,632,2510.629543
6087.780474,669,2518.717698
1286.733912,368,2523.233262
6030.978351,680,2531.635641
6362.417655,623,2540.422641
7063.75001,510,2546.553692
6238.451716,641,2554.272535
6421.335932,613,2561.774615
7421.012594,457,2568.674099
5594.466833,763,2578.164813
6431.523125,610,2585.43404
6513.390974,596,2592.633888
6166.445853,657,2601.826452
5845.039252,713,2610.433205
6041.805459,676,2618.600009
