#{}
epoch,num_iter_road_0,reward_road_0
0,265,8744.548
4,340,8262.3955
8,2002,3.080036e-13
12,397,7848.9834
16,490,942.6315
20,2002,3.080124e-13
24,2002,22.50434
28,337,1756.9761
32,386,7930.2695
36,73,4.7236996
40,68,9.353353
44,136,328.34766
48,120,282.16583
52,306,8549.114
56,320,8437.213
60,99,578.85535
64,91,517.21063
68,269,8849.444
72,255,8959.486
76,255,8970.266
80,253,8969.566
84,249,9021.242
88,257,8951.874
92,253,8987.226
96,263,8902.775
100,258,8933.286
104,259,8923.654
108,313,8492.968
112,274,8810.852
116,270,8844.163
120,258,8944.8955
124,250,9012.724
128,270,8844.162
132,251,9004.217
136,253,8987.225
140,246,9046.844
144,250,9012.726
148,254,8978.74
152,257,8946.588
