#{"t_start": 1645351749.2260284, "env_id": null}
r,l,t
0.016932,97,2.803272
6126.919237,664,14.749599
3281.513351,418,21.025879
6.843527,82,22.310168
456.272108,208,25.366678
6135.659389,662,36.735727
194.161094,252,40.583117
6783.256175,551,48.564571
4751.645206,492,55.654488
5977.025094,691,66.439418
344.820421,231,70.019126
5704.700125,742,80.710231
61.610232,146,82.957282
222.902549,195,87.431873
2113.126391,447,93.744398
6638.093813,575,101.751249
4615.522131,500,108.805393
47.801763,108,120.43199
3244.712906,460,126.666614
6610.187176,581,134.570266
13.14293,88,135.901031
5557.39459,768,148.124426
5421.247659,798,159.652736
6026.540807,682,169.340164
6724.929317,563,177.531991
0.914727,2002,219.750407
143.186407,1557,243.845622
4.154567,2002,275.087221
1034.621452,2002,305.547304
6083.270674,669,316.39269
834.756251,372,322.014029
116.886501,192,324.897097
7490.569927,447,331.377241
8.504929,97,334.644526
6522.595385,594,343.323495
7024.485422,516,350.802279
361.125937,355,356.112823
6607.772177,582,365.172616
6687.691566,569,373.221012
6935.33546,527,380.638875
7136.349828,499,387.775029
6936.83317,529,397.252527
6474.650231,604,406.044654
7056.757478,510,413.194685
6331.978523,627,422.519837
5874.701523,708,434.347478
3349.866202,560,442.795454
632.528554,375,448.4712
1652.167227,411,454.658263
966.897839,317,460.984941
2049.183514,383,466.605872
130.572981,163,469.078832
6895.808412,535,476.796911
585.059306,323,482.71736
1079.055428,333,487.692862
6144.008318,660,497.683642
6920.924353,532,505.548881
956.76267,380,512.786536
741.51968,259,516.65332
1.723092,62,517.741153
443.540949,305,522.174186
209.497334,252,536.12141
6459.964667,604,545.041337
791.595797,387,550.57509
6138.184337,662,559.697109
3999.246076,1136,586.474077
5828.995921,718,595.925702
6906.651843,532,603.389738
5830.503534,715,613.268201
0.000492,1391,632.800422
1324.79742,817,644.892576
6769.2852,555,652.808024
0.00423,1001,668.255427
1687.100685,413,675.750892
6356.558167,624,684.55576
6149.471989,660,693.564938
7068.796088,508,700.806883
3333.135045,1348,723.066868
5677.375936,746,733.522145
6521.134732,594,741.95201
6409.505095,615,749.938274
7057.189541,511,757.935449
7233.971028,482,764.309386
6234.852824,645,773.15631
6573.460248,586,781.400766
6888.899859,537,790.186398
6508.164191,598,798.496006
6336.860052,626,807.295906
7004.941297,519,815.088977
6282.683591,634,824.838103
6468.896608,605,833.303417
6491.562564,601,841.358406
6206.250127,650,850.493691
6895.291955,536,859.212341
6309.043217,631,867.822929
51.72196,2002,894.545916
5831.123946,718,904.487512
7372.734676,464,912.176896
6958.086237,526,919.326675
6530.54373,594,927.327053
20.683732,95,928.759176
4606.611839,546,937.534367
6619.999945,580,945.45028
7272.208694,477,951.861393
5955.160752,695,961.185841
7024.485422,516,969.677554
6787.490897,553,977.507365
6632.252193,578,985.506072
6791.278615,552,993.375588
6436.22174,610,1003.258298
6378.288583,618,1012.006622
7215.491884,487,1018.797298
7180.630251,490,1025.534564
6093.258804,670,1036.508853
1470.996544,2002,1065.955953
7142.989497,498,1072.879642
6532.916334,593,1081.190767
7270.412987,479,1089.32465
7324.617509,468,1096.016623
6728.754969,560,1103.82708
6091.705056,669,1113.709596
2869.031728,466,1122.106484
6163.675506,656,1131.696366
6972.497766,524,1139.303487
5.725018,2002,1167.546249
6656.830325,574,1177.583554
0.395755,2002,1208.670223
6491.697949,600,1217.695031
5983.855937,688,1227.498997
6421.335932,613,1237.727674
6978.973502,523,1245.074041
6953.10937,527,1252.329018
7270.412987,479,1259.273278
7229.033573,484,1267.429034
6997.455362,519,1274.717259
6524.02605,594,1283.21362
7229.912133,485,1290.015388
6557.382849,588,1299.621489
6662.990235,573,1307.551717
978.865008,269,1311.442752
6206.250127,650,1320.684371
6168.475552,656,1331.712342
6086.583182,668,1341.714482
6405.045003,615,1350.259573
3723.80419,1221,1367.357274
63.385714,146,1370.976876
6340.338346,625,1379.72026
6549.95127,591,1387.722825
6806.381691,550,1395.203148
6693.790032,567,1404.577353
1367.358835,268,1408.413186
7162.948389,495,1415.5435
6836.73598,542,1423.132631
6553.698592,589,1432.837591
6806.326753,548,1440.488857
6357.725066,621,1449.226048
5971.550807,692,1458.937691
5872.351741,709,1470.347454
6835.86987,543,1477.776716
6534.916917,594,1486.222169
6607.772177,582,1494.675171
6165.571445,657,1506.132859
6461.833464,603,1514.91251
7236.645411,484,1521.774717
7215.838206,487,1528.545023
