#{}
epoch,num_iter_road_0,reward_road_0
0,260,8908.107
4,265,8885.987
8,178,918.6617
12,286,8711.718
16,2002,155.92238
20,300,8597.554
24,2002,154.74811
28,160,883.2817
32,298,8613.767
36,113,474.38083
40,305,8557.167
44,139,1012.9824
48,315,8476.996
52,141,1024.6361
56,315,8452.138
60,2002,173.59296
64,2002,326.2055
68,311,8508.97
72,301,8566.797
76,284,8728.156
80,281,8752.88
84,193,1009.7328
88,182,1047.6417
92,280,8747.338
96,273,8809.32
100,280,8761.134
104,284,8721.13
108,291,8648.103
112,296,8630.009
116,283,8736.389
120,277,8785.957
124,273,8804.495
128,265,8869.757
132,278,8776.283
136,284,8728.157
140,259,8936.453
144,275,8802.545
148,263,8902.778
152,282,8744.632
156,272,8827.489
160,267,8846.951
164,271,8835.823
