#{}
epoch,num_iter_road_0,reward_road_0
0,66,10.746923
4,16,0.14976175
8,14,0.06522272
12,17,0.21915388
16,24,1.6317303
20,101,76.97521
24,49,21.326927
28,83,518.8303
32,71,369.20273
36,78,461.3611
40,25,1.7272859
44,25,1.8414785
48,25,1.8183196
52,16,0.14239068
56,15,0.09743191
60,31,1.6295042
64,57,155.61653
68,28,3.0271444
72,28,3.1202745
76,23,0.81431323
80,23,0.8255252
84,25,1.4261034
88,23,0.8139462
92,42,33.35044
96,33,7.2216625
100,39,13.573776
104,87,387.94696
108,29,1.9039404
112,26,1.0547593
116,25,1.1962394
120,25,1.0875098
124,24,0.9783548
128,26,1.5871177
132,26,1.6520195
136,38,18.657093
140,51,91.97475
144,52,105.68558
148,59,193.74539
152,47,62.591236
156,75,495.25867
160,80,425.0764
164,84,445.7565
168,54,114.5796
172,83,410.7178
176,72,510.0613
180,89,478.30112
184,74,475.57156
188,76,490.2831
192,71,498.6607
196,76,491.39056
200,104,534.51215
204,84,503.56937
208,144,528.4424
212,78,496.47266
216,2002,74.8773
220,2002,3.0799113e-13
224,2002,0.00048757272
228,135,233.85344
232,93,546.3187
236,2002,422.01382
240,94,709.7631
244,193,2574.4858
248,89,180.7599
252,101,570.7002
256,224,1385.9701
260,126,902.7403
264,2002,1.6302661
268,141,505.00592
272,101,530.3293
276,94,572.4885
280,2002,108.88448
284,88,534.01294
288,81,506.72507
292,97,598.5238
296,86,634.9866
300,96,593.7841
304,88,641.4333
308,85,599.4709
312,2002,100.4971
316,2002,79.376434
320,2002,75.565765
324,428,115.9981
328,232,116.9077
332,2002,95.63119
336,2002,3.080111e-13
340,87,532.5755
344,87,429.0757
348,85,494.6174
352,94,401.03958
356,2002,111.08031
360,2002,90.2153
364,85,385.73343
368,81,443.3195
372,102,13.907705
376,143,18.89233
380,2002,0.0040377993
384,2002,0.008590057
388,79,16.106026
392,2002,0.8981713
396,2002,130.65657
400,262,389.63254
404,2002,2.141571e-06
408,2002,68.92705
412,440,7539.6753
416,2002,98.18619
420,2002,140.909
424,99,297.7796
428,2002,3.0801357e-13
432,2002,0.02164415
436,2002,0.6869813
440,2002,380.35785
444,2002,3.0798348e-13
448,2002,4.008138e-06
452,2002,2.3472248e-06
456,2002,0.030289762
460,2002,84.40747
464,2002,5.0571157e-07
468,2002,3.080075e-13
472,2002,0.0035903018
476,2002,28.85911
480,2002,3.0801265e-13
484,2002,3.0801273e-13
488,2002,3.0801278e-13
492,2002,0.0027308918
496,2002,328.155
500,2002,0.1876089
504,2002,7.32283e-05
508,2002,0.00063374115
512,2002,446.0828
516,2002,4.751972e-07
520,2002,2.2664517e-06
524,2002,1.649828e-05
528,2002,0.0647942
532,2002,2.2492109e-06
536,2002,2.1875373e-06
540,2002,0.05574588
544,2002,0.03100539
548,2002,381.99323
552,116,1.0886176
556,2002,3.0799964e-13
560,2002,3.0800406e-13
564,2002,1.4040705e-07
568,2002,3.079474e-13
572,2002,0.08567718
576,2002,64.175186
580,2002,5.0851235e-05
584,2002,99.875496
588,2002,0.9197797
592,2002,3.079992e-13
596,2002,0.1089646
